# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;rosto risonho;lol|rindo|risada|rosto|rosto risonho
🎪;circo;circo|entretenimento|lona|lona de circo
🚂;locomotiva;locomotiva|trem|veículo
🚃;vagão de trem;bonde elétrico|elétrico|ferroviário|trem elétrico|trólebus|vagão de trem|vagão ferroviário|veículo
🚄;trem de alta velocidade;sistema de trens bala japonês|trem|trem de alta velocidade|veículo
🚅;trem de alta velocidade japonês;parte dianteira em formato de bala|sistema de trens bala japonês|sistema de trens bala japonês com parte dianteira em formato de bala|trem|trem de alta velocidade japonês|veículo
🚆;trem;ferrovia|trem|veículo
🚇;metrô;metrô|veículo
🚈;trem urbano;leve|trem|trem urbano|veículo
🚉;estação;estação|trem
🚊;bonde elétrico;bonde elétrico|trólebus|veículo
🚝;monotrilho;monotrilho|veículo
🚞;estrada de ferro na montanha;carro|estrada de ferro|estrada de ferro na montanha|montanha|teleférico|veículo
🚋;bonde;bonde|bonde elétrico|carro|trólebus|veículo
🚌;ônibus;ônibus|veículo
🚍;ônibus se aproximando;ônibus|ônibus se aproximando|se aproximando|veículo
🚎;trólebus;bonde elétrico|ônibus|trólebus|veículo
🚐;van;ônibus|van|veículo
🚑;ambulância;ambulância|veículo
🚒;carro do corpo de bombeiros;caminhão do corpo de bombeiros|carro|carro do corpo de bombeiros|fogo|veículo
🚓;viatura policial;carro patrulha|polícia|veículo|viatura policial
🚔;viatura policial se aproximando;polícia|veículo|viatura policial|viatura policial se aproximando
🚕;táxi;táxi|veículo
🚖;táxi se aproximando;táxi|táxi se aproximando|veículo
🚗;carro;automóvel|carro|veículo
🚘;carro se aproximando;automóvel|automóvel se aproximando|carro|carro se aproximando|se aproximando|veículo
🚙;SUV;carro|SUV|trailer|veículo|veículo recreacional
🛻;caminhonete;caminhonete|pick-up|veículo
🚚;caminhão de entrega;caminhão|caminhão de entrega|veículo
🚛;caminhão;caminhão|caminhão articulado|semi|trailer|veículo
🚜;trator;trator|veículo
🏎️;carro de corrida;automobilismo|carro|carro de corrida|corrida
🏍️;motocicleta;corrida|motocicleta
🛵;scooter;moto|scooter
🦽;cadeira de rodas manual;acessibilidade|cadeira de rodas manual
🦼;cadeira de rodas motorizada;acessibilidade|cadeira de rodas motorizada
🛺;automóvel riquixá;automóvel riquixá|autorriquixá|tuk tuk
🚲;bicicleta;bicicleta|veículo
🛴;patinete;brinquedo|patinete
🛹;skate;skate
🛼;patins de rodas;patins|patins de rodas|rodas
🚏;ponto de ônibus;ônibus|ponto|ponto de ônibus
🛣️;estrada;caminho|estrada
🛤️;trilhos;trem|trilhos
🛢️;barril de óleo;barril de óleo|lata|lata de óleo|óleo
⛽;posto de gasolina;bomba de combustível|combustível|gasolina|posto|posto de gasolina
🛞;roda;círculo|girar|pneu|roda
🚨;sirene;carro da polícia|farol policial|luz de viatura policial|luz giratória|sirene
🚥;semáforo horizontal;luz|semáforo horizontal|sinais de trânsito|trânsito
🚦;semáforo vertical;luz|semáforo vertical|sinais de trânsito|trânsito
🛑;sinal de pare;pare|sinal|sinal de pare
🚧;em construção;construção|em construção|símbolo|símbolo para “em construção”
⚓;âncora;âncora|sinal
🛟;boia;boia|colete salva-vidas|flutuar|resgate|salva-vidas|segurança
⛵;barco a vela;barco|barco a vela|iate|resort|resort marítimo
🛶;canoa;barco|canoa
🚤;lancha;barco|lancha|veículo
🛳️;cruzeiro;cruzeiro|navio|passageiros|veículo
⛴️;balsa;balsa|barco|ferry boat|ferry-boat
🛥️;barco;barco|motor|veículo
🚢;navio;navio|veículo aquático
✈️;avião;aéreo|avião|veículo
🛩️;avião pequeno;aéreo|avião pequeno|veículo|veículo pequeno
🛫;avião decolando;avião decolando|decolando|decolar|veículo
🛬;avião aterrissando;aterrissagem|aterrissando|avião|pousando|veículo
🪂;paraquedas;asa-delta|paraquedas|parasail|saltar de paraquedas
💺;assento;assento|cadeira
🚁;helicóptero;helicóptero|veículo
🚟;estrada de ferro suspensa;estrada de ferro|estrada de ferro suspensa|suspensão|veículo
🚠;cabo suspenso usado em teleféricos nas montanhas;bonde|cabo|cabo suspenso usado em teleféricos nas montanhas|montanha|teleférico|teleférico na montanha|veículo
🚡;teleférico;aérea|gôndola|linha de bonde|linha de bonde aérea|teleférico|veículo
🛰️;satélite;satélite|veículo
🚀;foguete;foguete|veículo
🛸;disco voador;disco voador|OVNI
🛎️;sineta;hotel|sineta|sino
🧳;mala;bagagem|mala|viagem
⌛;ampulheta;ampulheta|areia
⏳;ampulheta contando o tempo;ampulheta contando o tempo|relógio|relógio de areia
⌚;relógio de pulso;relógio|relógio de pulso
⏰;despertador;alarme|despertador|relógio
⏱️;cronômetro;cronômetro|relógio
⏲️;relógio temporizador;cronômetro|relógio|relógio temporizador|timer
🕰️;relógio de mesa;relógio|relógio de mesa
🕛;12 horas;12 horas|12h00|doze|meia-noite|meio-dia|relógio
🕧;doze e meia;12h30|doze e meia|relógio
🕐;1 hora;1 hora|1h00|relógio|uma
🕜;uma e meia;1h30|relógio|uma e meia
🕑;2 horas;2 horas|2h00|duas|relógio
🕝;duas e meia;2h30|duas e meia|relógio
🕒;3 horas;3 horas|3h00|relógio|três
🕞;três e meia;3h30|relógio|três e meia
🕓;4 horas;4 horas|4h00|quatro|relógio
🕟;quatro e meia;4h30|quatro e meia|relógio
🕔;5 horas;5 horas|5h00|cinco|relógio
🕠;cinco e meia;5h30|cinco e meia|relógio
🕕;6 horas;6 horas|6h00|relógio|seis
🕡;seis e meia;6h30|relógio|seis e meia
🕖;7 horas;7 horas|7h00|relógio|sete
🕢;sete e meia;7h30|relógio|sete e meia
🕗;8 horas;8 horas|8h00|oito|relógio
🕣;oito e meia;8h30|oito e meia|relógio
🕘;9 horas;9 horas|9h00|nove|relógio
🕤;nove e meia;9h30|nove e meia|relógio
🕙;10 horas;10 horas|10h00|dez|relógio
🕥;dez e meia;10h30|dez e meia|relógio
🕚;11 horas;11 horas|11h00|onze|relógio
🕦;onze e meia;11h30|onze e meia|relógio
🌑;lua nova;escuro|lua|lua negra|nova
🌒;lua crescente côncava;côncava|crescente|lua
🌓;quarto crescente;lua|lua de quarto crescente|quarto|quarto crescente
🌔;lua crescente convexa;convexa|crescente|lua
🌕;lua cheia;cheia|lua|luar
🌖;lua minguante convexa;convexa|lua|minguante
🌗;quarto minguante;lua|lua de quarto minguante|quarto|quarto minguante
🌘;lua minguante côncava;côncava|lua|minguante
🌙;lua crescente;crescente|lua
🌚;rosto da lua nova;lua|lua nova|lua nova com rosto|rosto|rosto da lua nova
🌛;rosto da lua de quarto crescente;lua|lua com rosto|lua de quarto crescente|quarto crescente|quarto crescente com rosto|rosto|rosto da lua de quarto crescente
🌜;rosto da lua de quarto minguante;lua|lua com rosto|lua de quarto minguante|quarto minguante|quarto minguante com rosto|rosto|rosto da lua de quarto minguante
🌡️;termômetro;clima|tempo|termômetro
☀️;sol;clima|dia claro|raios|sol|solar|tempo
🌝;rosto da lua cheia;cheia|lua|lua cheia com rosto|lua com rosto|rosto|rosto da lua cheia
🌞;rosto do sol;rosto|rosto do sol|sol
🪐;planeta com anéis;planeta com anéis|saturnino|saturno
⭐;estrela branca média;estrela branca média
🌟;estrela brilhante;brilhante|brilho|cintilante|estrela|luminosa|reluzente
🌠;estrela cadente;cadente|cai|estrela
🌌;via láctea;céu|estrelado|via láctea
☁️;nuvem;clima|nuvem
⛅;sol por trás das nuvens;nuvem|sol|sol com nuvens|sol por trás das nuvens
⛈️;chuva com trovão;chuva|chuva com trovão|clima|nuvem|trovão
🌤️;sol com nuvens;clima|nuvem|sol|sol com nuvens
🌥️;nublado;clima|nublado|nuvem|sol
🌦️;sol com chuva;chuva|clima|nuvem|sol|sol com chuva
🌧️;nuvem com chuva;chuva|clima|nuvem|nuvem com chuva
🌨️;nuvem com neve;clima|frio|neve|nuvem|nuvem com neve
🌩️;nuvem com trovão;clima|nuvem|nuvem com trovão|relâmpago
🌪️;tornado;clima|furacão|nuvem|tornado
🌫️;nevoeiro;clima|furacão|nevoeiro|nuvem
🌬️;rosto de vento;clima|nuvem|rosto|rosto de vento|sopro|vento
🌀;ciclone;ciclone|furacão|twister|zonzo
🌈;arco-íris;arco-íris|chuva|clima
🌂;guarda-chuva fechado;chuva|chuvoso|guarda-chuva|guarda-chuva fechado
☂️;guarda-chuva;acessório|chuva|clima|guarda-chuva|sombrinha aberta
☔;sombrinha na chuva;acessório|chuva|clima|gotas|sombrinha|sombrinha na chuva
⛱️;guarda-sol;chuva|clima|guarda-sol|sol|sombrinha
⚡;alta tensão;alta|perigo|perigo de alta tensão|sinal|sinal de alta tensão|tensão
❄️;floco de neve;clima|floco|floco de neve|frio|neve
☃️;boneco de neve;boneco|boneco de neve|boneco de neve na neve|clima|frio|neve
⛄;boneco de neve sem neve;boneco de neve|boneco de neve sem neve|neve
☄️;cometa;cometa|espaço|estrela cadente|meteoro|satélite
🔥;fogo;chama|fogo
💧;gota;com suor|engraçado|gota|gota de suor|suor
🌊;onda;onda|onda de água|onda do oceano

[activities]
🎃;abóbora de halloween;abóbora|abóbora de halloween|comemoração|halloween|jack|lanterna
🎄;árvore de natal;árvore|árvore de natal|comemoração
🎆;fogos de artifício;comemoração|fogos de artifício
🎇;vela estrela;comemoração|fogo de artifício|fogo de artifício vela estrela|vela estrela
🧨;bombinha;bombinha|dinamite|explosivo|fogos de artifício
✨;brilhos;*|brilhos|estrelas|estrelas brilhantes
🎈;balão;balão|comemoração
🎉;cone de festa;alegria|comemoração|cone de festa|festa
🎊;confete;bola|bola de confetes|comemoração|confete
🎋;árvore de tanabata;árvore|árvore de tanabata|árvore japanesa|comemoração
🎍;decoração de pinhos;bambu|comemoração|decoração de pinhas|decoração de pinhos|japonês|pinha
🎎;bonecas japonesas;bonecas|bonecas japanesas|bonecas japonesas|comemoração|festival
🎏;bandeira de carpas;bandeira de carpas|comemoração|koinobori|subida de carpas
🎐;carrilhão de vento;carrilhão de vento|sino|som|vento
🎑;contemplação da lua;cerimônia de contemplação da lua|comemoração|contemplação|contemplação da lua|lua
🧧;envelope vermelho;boa sorte|dinheiro|envelope vermelho|hóngbāo|lai see|presente
🎀;laço de fita;comemoração|laço de fita
🎁;presente;comemoração|embrulhado|mimo|presente
🎗️;fita de lembrete;celebração|comemoração|fita de lembrete|laço|lembrete
🎟️;ingresso de cinema;entrada|ingresso|ingresso de cinema
🎫;ingresso;entretenimento|ingresso
🎖️;medalha militar;condecoração|medalha|militar|prêmio
🏆;troféu;prêmio|troféu
🏅;medalha esportiva;medalha|medalha esportiva|vitória
🥇;medalha de ouro;1º. lugar|medalha|medalha de ouro|ouro|vitória
🥈;medalha de prata;2º. lugar|medalha|medalha de prata|prata|segundo
🥉;medalha de bronze;3º. lugar|bronze|medalha|medalha de bronze|terceiro
⚽;bola de futebol;bola|bola de futebol|futebol
⚾;bola de beisebol;beisebol|bola|bola de beisebol
🥎;softbol;bola|embaixo do braço|luva|softbol
🏀;bola de basquete;bola|bola de basquete|cesta|cesta de basquete
🏐;bola de vôlei;bola|bola de vôlei|jogo
🏈;bola de futebol americano;americano|bola|bola de futebol americano
🏉;bola de rugby;bola|bola de futebol|bola de rugby
🎾;tênis;bola|bola de tênis|raquete de tênis|tênis
🥏;frisbee;frisbee|ultimate
🎳;boliche;bola|bola de boliche|boliche|jogo
🏏;críquete;bola|críquete|jogo|taco
🏑;hóquei de campo;bola|campo|hóquei|hóquei de campo|jogo|taco
🏒;hóquei no gelo;disco|gelo|hóquei|hóquei no gelo|jogo|taco
🥍;lacrosse;bastão|bola|gol|lacrosse
🏓;pingue-pongue;mesa|pingue-pongue|raquete|tênis de mesa
🏸;badminton;badminton|jogo|peteca|raquete
🥊;luva de boxe;boxe|luva|luva de boxe
🥋;quimono de artes marciais;artes marciais|judô|karatê|quimono|quimono de artes marciais|taekwondo
🥅;gol;esporte|gol|rede
⛳;bandeira no buraco;bandeira de golfe|bandeira no buraco|buraco|golfe
⛸️;patins de gelo;gelo|patinação no gelo|patins|patins de gelo
🎣;pesca;peixe|pesca|vara|vara de pescar e peixe
🤿;máscara de mergulho;máscara de mergulho|mergulhador|mergulho|scuba|snorkeling
🎽;camiseta de corrida;camiseta|camiseta de corrida|camiseta de corrida com faixa|corrida
🎿;esqui;bota|esporte|esqui|esqui e bota
🛷;trenó;trenó
🥌;pedra de curling;pedra|pedra de curling
🎯;no alvo;jogo|mira|na mosca|no alvo|tiro|tiro certeiro
🪀;ioiô;brinquedo|flutua|ioiô
🪁;pipa;pipa|planar|voar
🔫;pistola d’água;água|arma|ferramenta|pistola|pistola d’água|revólver
🎱;bilhar;bilhar|bola oito|jogo
🔮;bola de cristal;adivinhação|bola|bola de cristal|cristal|destino
🪄;varinha mágica;bruxa|magia|mago|varinha mágica
🎮;videogame;controle|controle de videogame|game|jogo|videogame
🕹️;joystick;game|jogo|joystick|videogame
🎰;caça-níquel;caça-níquel|jogo de azar|máquina caça-níqueis
🎲;jogo de dado;dado|dados|jogo|jogo de dado
🧩;quebra-cabeça;dica|encaixe|peça|quebra-cabeça
🧸;ursinho de pelúcia;brinquedo|enchimento|pelúcia|ursinho de pelúcia
🪅;pinhata;comemoração|festa|pinhata
🪩;globo de espelhos;balada|brilho|dançar|discoteca|festa|globo de espelhos
🪆;boneca russa;boneca|matriosca|russa
♠️;naipe de espadas;baralho|carta|espadas|jogo|naipe|naipe de espadas
♥️;naipe de copas;baralho|carta|copas|jogo|naipe|naipe de copas
♦️;naipe de ouros;baralho|carta|jogo|naipe|naipe de ouros|ouro
♣️;naipe de paus;baralho|carta|jogo|naipe|naipe de paus|paus
♟️;peão de xadrez;peão|peão de xadrez|truque|xadrez
🃏;curinga;baralho|carta|curinga|joker
🀄;dragão vermelho de mahjong;dragão vermelho|dragão vermelho de mahjong|mahjong|peça|peça de mahjong|vermelho
🎴;carta de flores;baralho|carta de baralho|carta de flores|flores|Hanafuda|jogo de baralho
🎭;máscara;arte|arte dramática|entretenimento|espetáculo|máscara
🖼️;quadro emoldurado;arte|moldura|pintura|quadro|quadro emoldurado
🎨;paleta de tintas;arte|artista|paleta|paleta artística|paleta de tintas|pintura
🧵;carretel;agulha|barbante|carretel|costura
🪡;agulha de costura;agulha|agulha de costura|alfaiataria|bordados|costura|pontos|suturas
🧶;novelo;bola|crochê|novelo|tricô
🪢;nó;amarrar|corda|cordel|emaranhado|fio|nó

[objects]
👓;óculos;acessório|óculos
🕶️;óculos escuros;óculos|óculos de sol|óculos escuros
🥽;óculos de proteção;natação|óculos de proteção|proteção para os olhos|soldagem
🥼;jaleco;cientista|experiência|jaleco|médico
🦺;colete salva-vidas;colete|colete salva-vidas|emergência|segurança
👔;gravata;acessório|gravata|roupa
👕;camiseta;camisa|camiseta|roupa
👖;jeans;calça|jeans|roupa
🧣;cachecol;cachecol|inverno|pescoço
🧤;luvas;inverno|luvas|mãos
🧥;casaco;blusa|casaco|jaqueta
🧦;meias;meias
👗;vestido;peça única|roupa|vestido
👘;quimono;quimono|roupa|vestir
🥻;sari;roupa|sari|vestido
🩱;maiô;maiô|roupa de banho
🩲;cueca;cueca|peça única|roupa de banho|roupa de praia|roupa íntima
🩳;shorts;bermuda|roupa de banho|roupa de praia|shorts
👙;biquíni;biquíni|roupa|traje de banho
👚;roupas femininas;roupas|roupas femininas
🪭;leque dobrável;balançar|dança|leque|leque dobrável|quente|refrescante|tímida
👛;bolsinha;acessório|bolsinha|moedas|niqueleira
👜;bolsa de mão;acessório|bolsa|bolsa de mão
👝;bolsa pequena;acessório|bolsa pequena
🛍️;sacolas de compras;compras|sacolas|sacolas de compras|sacolas de shopping
🎒;mochila;bolsa escolar|escola|mochila|mochila escolar
🩴;chinelo;alpargatas|chinelo|chinelo de praia|rasteirinha
👞;sapato masculino;acessório|sapato masculino|sapatos
👟;tênis de corrida;sapato esportivo|tênis|tênis de corrida
🥾;bota de trekking;acampar|bota|bota de trekking|caminhada|mochilão|trilha
🥿;sapatilha;sapatilha|sapatilha de balé|sapato|sem fivela
👠;sapato de salto alto;acessório|sapato|sapato de salto alto
👡;sandália feminina;acessório|feminino|sandália feminina|sandálias
🩰;sapatilha de balé;balé|dança|sapatilha de balé
👢;bota feminina;acessório|bota feminina|botas|feminino
🪮;pente de cabelo;afro|cabelo|pente|pente de cabelo|retrô
👑;coroa;acessório|coroa
👒;chapéu feminino;acessório|chapéu|chapéu feminino
🎩;cartola;cartola|chapéu|roupa
🎓;chapéu de formatura;chapéu|chapéu de formatura|comemoração|formatura
🧢;boné;boné|boné de beisebol|chapéu
🪖;capacete militar;capacete|exército|guerreiro|militar|soldado
⛑️;capacacete de socorrista;capacacete de socorrista|capacete|capacete de socorrista|primeiros socorros|rosto
📿;rosário de oração;acessório|oração|religião|reza|rosário|rosário de oração|terço
💄;batom;batom|cosméticos|maquiagem
💍;anel;anel|diamante
💎;pedra preciosa;diamante|joia|pedra preciosa
🔇;alto-falante silenciado;alto-falante|alto-falante silenciado|mudo|quieto|silenciar|silêncio
🔈;alto-falante com volume baixo;alto-falante com volume baixo|volume baixo
🔉;alto-falante com volume médio;alto-falante com volume médio|volume médio
🔊;alto-falante com volume alto;alto-falante com volume alto|volume alto
📢;buzina;alto|alto-falante|buzina|discurso público|megafone
📣;megafone;aplausos|comunicação|megafone
📯;corneta postal;corneta|correios|postal
🔔;sino;sino
🔕;sino silenciado;mudo|proibido|quieto|silencioso|sino|sino silenciado
🎼;partitura musical;música|partitura|partitura musical
🎵;nota musical;música|nota|nota musical
🎶;notas musicais;música|nota|notas|notas musicais
🎙️;microfone de estúdio;estúdio|microfone|microfone de estúdio|música
